seq,step,time,tag,phase,current_bytes,actual_bytes,highwater_bytes
0,-1,0,setup.start,point,0,0,0
1,0,0,setup.end,point,13610432068,40000000000,20062052820
2,1,1,timeStep,enter,13610432068,40000000000,20062052820
3,1,1,step-start,point,13610432068,40000000000,20062052820
4,1,1,momentumSolve,enter,15764990303,40000000000,20062052820
5,-1,1,PDE.solveRhs.afterAssemble,point,16224892127,40000000000,21769849223
6,-1,1,PDE.solveRhs.afterSavedRhs,point,16616900711,40000000000,21769849223
7,-1,1,PDE.solveRhs.beforeSolve,point,16616900711,40000000000,21769849223
8,-1,1,PDE.solveRhs.afterSolve,point,16616900711,40000000000,21769849223
9,1,1,momentumSolve,exit,16224892127,40000000000,21769849223
10,1,1,after-UEqn,point,16224892127,40000000000,21769849223
11,1,1,pEqn,enter,18351728247,40000000000,21769849223
12,-1,1,PDE.solveImpl.beforeAssemble,point,19497099223,40000000000,21769849223
13,-1,1,PDE.solveImpl.afterAssemble,point,19891666279,40000000000,21769849223
14,-1,1,PDE.solveImpl.beforeSolve,point,19891666279,40000000000,21769849223
15,-1,1,PDE.solveImpl.afterSolve,point,19891666279,40000000000,21769849223
16,1,1,pEqn,exit,19891666279,40000000000,21769849223
17,1,1,after-pEqn,point,17764830159,40000000000,21769849223
18,-1,1,kOmegaSST.correct,enter,17764830159,40000000000,21769849223
19,-1,1,kOmegaSST.afterGradients,point,21567038831,40000000000,24216450911
20,-1,1,kOmegaSST.omegaEqn.before,point,21567038831,40000000000,24216450911
21,-1,1,PDE.solveImpl.beforeAssemble,point,22712409807,40000000000,24871120287
22,-1,1,PDE.solveImpl.afterAssemble,point,22712409807,40000000000,24871120287
23,-1,1,PDE.solveImpl.beforeSolve,point,22712409807,40000000000,24871120287
24,-1,1,PDE.solveImpl.afterSolve,point,22712409807,40000000000,24871120287
25,-1,1,kOmegaSST.omegaEqn.after,point,22712409807,40000000000,24871120287
26,-1,0,kOmegaSST.boundRepair,enter,22712409807,40000000000,24871120287
27,-1,0,kOmegaSST.boundRepair,exit,22712409807,40000000000,24871120287
28,-1,1,kOmegaSST.kEqn.before,point,22712409807,40000000000,24871120287
29,-1,1,PDE.solveImpl.beforeAssemble,point,23857780783,40000000000,26016491263
30,-1,1,PDE.solveImpl.afterAssemble,point,23857780783,40000000000,26016491263
31,-1,1,PDE.solveImpl.beforeSolve,point,23857780783,40000000000,26016491263
32,-1,1,PDE.solveImpl.afterSolve,point,23857780783,40000000000,26016491263
33,-1,1,kOmegaSST.kEqn.after,point,23857780783,40000000000,26016491263
34,-1,1,kOmegaSST.correct,exit,20055572111,40000000000,26016491263
35,1,1,after-turb,point,20055572111,40000000000,26016491263
36,1,1,timeStep,exit,20055572111,40000000000,26016491263
37,2,2,timeStep,enter,20055572111,40000000000,26016491263
38,2,2,step-start,point,20055572111,40000000000,26016491263
39,2,2,momentumSolve,enter,20055572111,40000000000,26016491263
40,-1,2,PDE.solveRhs.afterAssemble,point,20055572111,40000000000,26016491263
41,-1,2,PDE.solveRhs.afterSavedRhs,point,20447580695,40000000000,26016491263
42,-1,2,PDE.solveRhs.beforeSolve,point,20447580695,40000000000,26016491263
43,-1,2,PDE.solveRhs.afterSolve,point,20447580695,40000000000,26016491263
44,2,2,momentumSolve,exit,20055572111,40000000000,26016491263
45,2,2,after-UEqn,point,20055572111,40000000000,26016491263
46,2,2,pEqn,enter,22182408231,40000000000,26016491263
47,-1,2,PDE.solveImpl.beforeAssemble,point,22182408231,40000000000,26016491263
48,-1,2,PDE.solveImpl.afterAssemble,point,22182408231,40000000000,26016491263
49,-1,2,PDE.solveImpl.beforeSolve,point,22182408231,40000000000,26016491263
50,-1,2,PDE.solveImpl.afterSolve,point,22182408231,40000000000,26016491263
51,2,2,pEqn,exit,22182408231,40000000000,26016491263
52,2,2,after-pEqn,point,20055572111,40000000000,26016491263
53,-1,2,kOmegaSST.correct,enter,20055572111,40000000000,26016491263
54,-1,2,kOmegaSST.afterGradients,point,23857780783,40000000000,26507192863
55,-1,2,kOmegaSST.omegaEqn.before,point,23857780783,40000000000,26507192863
56,-1,2,PDE.solveImpl.beforeAssemble,point,23857780783,40000000000,26507192863
57,-1,2,PDE.solveImpl.afterAssemble,point,23857780783,40000000000,26507192863
58,-1,2,PDE.solveImpl.beforeSolve,point,23857780783,40000000000,26507192863
59,-1,2,PDE.solveImpl.afterSolve,point,23857780783,40000000000,26507192863
60,-1,2,kOmegaSST.omegaEqn.after,point,23857780783,40000000000,26507192863
61,-1,0,kOmegaSST.boundRepair,enter,23857780783,40000000000,26507192863
62,-1,0,kOmegaSST.boundRepair,exit,23857780783,40000000000,26507192863
63,-1,2,kOmegaSST.kEqn.before,point,23857780783,40000000000,26507192863
64,-1,2,PDE.solveImpl.beforeAssemble,point,23857780783,40000000000,26507192863
65,-1,2,PDE.solveImpl.afterAssemble,point,23857780783,40000000000,26507192863
